"","date","Team","Opponent","Player","#","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"118","August-6-2023","United States","Sweden","Emily Fox","23","RB","25-032","119","0","0","0","0","0","0","0","0","118","0","1","1","0.0","0.0","0.1","4","0","86","109","78.9","7","62","2","3","1"
"119","August-6-2023","United States","Sweden","Kelley O'Hara","5","RB","35-002","1","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","1","3","33.3","0","0","0","0","0"
"120","August-6-2023","United States","Sweden","Alyssa Naeher","1","GK","35-108","120","0","0","0","0","0","0","0","0","23","0","0","0","0.0","0.0","0.0","0","0","18","22","81.8","0","9","0","0","0"
"121","July-27-2023","Portugal","Vietnam","Telma Encarnação","23","FW","21-289","74","1","1","0","0","7","4","0","0","50","2","0","3","1.8","1.8","0.6","5","1","22","34","64.7","3","36","1","2","1"
"122","July-27-2023","Portugal","Vietnam","Carolina Mendes","18","FW","35-242","16","0","0","0","0","1","0","0","0","9","0","0","1","0.2","0.2","0.0","0","0","4","5","80.0","2","3","0","1","1"
"123","July-27-2023","Portugal","Vietnam","Jéssica Silva","10","FW","28-228","68","0","0","0","0","5","1","0","0","40","1","0","2","0.7","0.7","1.3","7","0","11","17","64.7","1","29","1","8","5"
"124","July-27-2023","Portugal","Vietnam","Andreia Norton","8","AM","26-346","22","0","0","0","0","1","0","0","0","21","0","0","0","0.0","0.0","0.0","1","0","12","16","75.0","0","15","2","5","3"
"125","July-27-2023","Portugal","Vietnam","Kika Nazareth","20","AM","20-252","68","1","0","0","0","4","2","0","0","50","0","0","2","1.4","1.4","0.7","7","0","31","41","75.6","9","38","3","6","4"
"126","July-27-2023","Portugal","Vietnam","Ana Capeta","21","FW","25-217","22","0","0","0","0","0","0","0","0","9","0","0","0","0.0","0.0","0.0","1","0","6","9","66.7","0","6","1","0","0"
"127","July-27-2023","Portugal","Vietnam","Tatiana Pinto","11","CM","29-121","90","0","0","0","0","0","0","0","0","73","1","0","2","0.0","0.0","0.0","0","0","52","58","89.7","7","50","2","1","0"
"128","July-27-2023","Portugal","Vietnam","Andreia Jacinto","6","CM","21-049","89","0","0","0","0","4","0","0","0","70","3","0","0","0.1","0.1","0.6","6","1","47","56","83.9","8","50","1","2","1"
"129","July-27-2023","Portugal","Vietnam","Ana Rute","7","CM","25-179","1","0","0","0","0","1","0","0","0","3","0","0","0","0.1","0.1","0.0","1","0","0","1","0.0","0","1","0","0","0"
"130","July-27-2023","Portugal","Vietnam","Joana Marchão","5","WB","26-276","90","0","0","0","0","2","0","0","0","77","1","0","1","0.1","0.1","0.0","6","1","51","69","73.9","10","42","4","2","2"
"131","July-27-2023","Portugal","Vietnam","Lúcia Alves","3","WB","25-278","90","0","1","0","0","2","2","0","0","69","2","1","2","0.4","0.4","0.6","8","1","37","48","77.1","3","32","1","2","1"
"132","July-27-2023","Portugal","Vietnam","Ana Seiça","17","CB","22-124","89","0","0","0","0","0","0","0","0","93","3","3","0","0.0","0.0","0.1","5","0","63","80","78.8","9","68","0","1","1"
"133","July-27-2023","Portugal","Vietnam","Sílvia Rebelo","4","CB","34-068","1","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","1","1","100.0","0","1","0","0","0"
"134","July-27-2023","Portugal","Vietnam","Carole Costa","15","CB","33-085","90","0","0","0","0","2","0","0","0","96","0","0","0","0.0","0.0","0.0","2","0","89","94","94.7","18","84","2","0","0"
"135","July-27-2023","Portugal","Vietnam","Ana Borges","9","CB","33-042","90","0","0","0","0","0","0","1","0","79","1","0","0","0.0","0.0","0.2","4","0","68","74","91.9","12","57","0","3","3"
"136","July-27-2023","Portugal","Vietnam","Patrícia Morais","12","GK","31-040","90","0","0","0","0","0","0","0","0","16","0","0","0","0.0","0.0","0.0","0","0","14","15","93.3","0","13","0","0","0"
